time,open,high,low,close,CDV Line,CDV Candles (Open),CDV Candles (High,CDV Candles (Low),CDV Candles (Close),SMA 1,SMA 2,EMA 1,EMA 2
1705415400,37692,37747,37587,37611,,,,,,,,,
1705416000,37612,37612,37541,37547,,-12814.660299295774,-9054.06875,-16575.25184859155,-12814.660299295774,,,,
1705416600,37547,37583,37511,37579,,-12814.660299295774,-12009.362959702661,-16575.25184859155,-14292.307404147105,,,,
1705417200,37581,37620,37579,37616,,-13553.48385172144,-7281.606862141685,-13553.48385172144,-9645.484910922172,,,,
1705417800,37615,37659,37608,37653,,-11599.484381321807,-3634.3519601809007,-11599.484381321807,-5457.979411161294,,,,
1705418400,37652,37718,37648,37680,,-8528.73189624155,602.0480398190989,-8528.73189624155,-1516.151960180901,,,,
1705419000,37680,37695,37642,37678,,-5022.441928211226,602.0480398190989,-5022.441928211226,-163.54158282241053,,,,
1705419600,37679,37703,37661,37667,,-2592.991755516818,-929.13120546392,-2592.991755516818,-1635.9526340353486,,,,
1705420200,37668,37679,37640,37661,,-2114.4721947760836,-2114.4721947760836,-3546.440729273444,-2944.60739594011,,,,
1705420800,37662,37673,37546,37577,,-2529.539795358097,-2529.539795358097,-11027.369863131711,-7286.905296202578,,,,
1705421400,37578,37620,37548,37601,,-4908.222545780338,-4908.222545780338,-11027.369863131711,-9516.605974242822,,,,
1705422000,37601,37653,37596,37606,,-7212.41426001158,-6216.543839739898,-8005.842085353934,-7111.1929625469165,,,,
1705422600,37608,37650,37605,37622,,-7161.803611279249,-5047.0327286287875,-7161.803611279249,-5631.788284184343,,,,
1705423200,37621,37627,37592,37614,,-6396.795947731796,-5047.0327286287875,-6396.795947731796,-5532.732728628787,,,,
1705423800,37614,37626,37569,37595,,-5964.764338180292,-5964.764338180292,-7276.432728628787,-6647.432728628787,,,,
1705424400,37593,37602,37550,37564,,-6306.09853340454,-6306.09853340454,-9094.25965170571,-8185.346190167249,,,,
1705425000,37562,37574,37538,37539,,-7245.7223617858945,-7245.7223617858945,-10657.75965170571,-9876.00965170571,,,,
1705425600,37540,37574,37521,37523,,-8560.866006745802,-8560.866006745802,-11916.43889698873,-11287.09927434722,,,,
1705426200,37524,37527,37482,37513,,-9923.98264054651,-9923.98264054651,-14339.372230322064,-13127.905563655397,,,,
1705426800,37516,37536,37495,37498,,-11525.944102100953,-11525.944102100953,-15696.372230322064,-15017.872230322064,,,,
1705427400,37497,37519,37492,37494,,-13271.90816621151,-13271.90816621151,-16692.483341433173,-16194.427785877619,,,,
1705428000,37494,37514,37483,37499,,-14733.167976044564,-14733.167976044564,-16692.483341433173,-16201.838180142851,,,,
1705428600,37499,37560,37496,37543,,-15467.503078093709,-13141.974268852528,-15711.193018852528,-14426.583643852528,,,,
1705429200,37544,37555,37507,37553,,-14947.043360973119,-12186.630518852528,-14947.043360973119,-12664.302393852528,,,,
1705429800,37554,37570,37515,37521,,-13805.672877412824,-12186.630518852528,-13849.030518852527,-13017.830518852526,,,,
1705430400,37520,37524,37482,37485,,-13411.751698132675,-13411.751698132675,-15233.197185519193,-14541.113852185861,,,,
1705431000,37483,37483,37438,37470,,-13976.432775159268,-13976.432775159268,-16857.841629963637,-16045.519407741414,,,,
1705431600,37472,37476,37427,37434,,-15010.976091450342,-15010.976091450342,-18473.555915677924,-17665.69877282078,,,,
1705432200,37434,37439,37388,37392,,-16338.33743213556,-16338.33743213556,-20774.850033324983,-19624.20297450145,,,,
1705432800,37393,37448,37393,37424,,-17981.270203318505,-17981.270203318505,-20774.850033324983,-20080.986396961347,,,,
1705433400,37424,37439,37406,37424,,-19031.128300139928,-18720.12276059771,-19387.12276059771,-19053.62276059771,,,,
1705434000,37424,37464,37414,37454,,-19042.37553036882,-17324.92276059771,-19042.37553036882,-18022.522760597712,,,,
1705434600,37455,37473,37455,37465,,-18532.449145483268,-16241.478316153265,-18532.449145483268,-16783.200538375488,,,,
1705435200,37465,37487,37462,37479,,-17657.824841929378,-15049.638316153265,-17657.824841929378,-15645.558316153265,,,,
1705435800,37479,37493,37468,37486,,-16651.691579041322,-14196.518316153264,-16651.691579041322,-14623.078316153264,,,,
