time,open,high,low,close,CDV Line,CDV Candles (Open),CDV Candles (High,CDV Candles (Low),CDV Candles (Close),SMA 1,SMA 2,EMA 1,EMA 2
1705415400,4802,4805.5,4793.25,4795.5,,,,,,,,,
1705416000,4795.5,4795.75,4786.75,4787.75,,-84970.52366780044,-53701.5306122449,-116239.516723356,-84970.52366780044,,,,
1705416600,4787.75,4794.5,4783.5,4794,,-84970.52366780044,-77971.95990517418,-116239.516723356,-97105.7383142651,,,,
1705417200,4793.75,4797.5,4790.5,4796.25,,-91038.13099103277,-45401.88847660275,-91038.13099103277,-61686.92419088846,,,,
1705417800,4796.25,4804,4795.5,4803.25,,-76362.52759096061,1606.8762292796018,-76362.52759096061,-21897.506123661573,,,,
1705418400,4803.25,4812,4802.5,4808.25,,-49130.01685731109,48335.03412401645,-49130.01685731109,24970.955176648025,,,,
1705419000,4808.5,4812,4805.25,4810.75,,-12079.530840331534,72914.36745734978,-12079.530840331534,60624.70079068311,,,,
1705419600,4810.75,4815,4810.25,4813.75,,24272.58497517579,101426.20956261294,24272.58497517579,87170.28850998136,,,,
1705420200,4814,4815,4810.75,4811,,55721.436742578575,101426.20956261294,55721.436742578575,89412.53309202472,,,,
1705420800,4811.25,4813.25,4795.25,4802.75,,72566.98491730166,77398.85662143648,-21390.935045230188,28003.960788103144,,,,
1705421400,4803,4811,4797,4807.75,,50285.4728527024,50285.4728527024,-21390.935045230188,-330.3323666587603,,,,
1705422000,4807.75,4815.75,4807,4808.25,,24977.57024302182,44933.027454769806,20730.270311912667,32831.64888334124,,,,
1705422600,4808.5,4814,4806.25,4809.5,,28904.609563181526,60715.20487412465,28904.609563181526,52824.11616444722,,,,
1705423200,4809.25,4810.75,4804.5,4806.5,,40864.36286381437,60715.20487412465,40864.36286381437,51694.32487412465,,,,
1705423800,4806.75,4808.25,4799.5,4801.75,,46279.34386896951,46279.34386896951,22979.516302696073,32826.48058841036,,,,
1705424400,4801.75,4803.25,4794.25,4795.75,,39552.91222868994,39552.91222868994,-6987.983697303927,7995.766302696073,,,,
1705425000,4795.75,4798.75,4794.25,4795.5,,23774.339265693005,23774.339265693005,-19665.733697303927,-13326.858697303927,,,,
1705425600,4795.5,4799.5,4792.75,4793.5,,5223.740284194539,5223.740284194539,-33580.82628989652,-26623.279993600223,,,,
1705426200,4793.5,4796,4789.5,4794.75,,-10699.769854702841,-10699.769854702841,-33580.82628989652,-22379.393597588823,,,,
1705426800,4794.5,4796,4789.5,4790,,-16539.581726145832,-11177.960905281136,-30523.57628989652,-20850.768597588827,,,,
1705427400,4790,4793.75,4788,4788.5,,-18695.17516186733,-18695.17516186733,-44477.61976815739,-37500.59802902696,,,,
1705428000,4788.5,4792.5,4787,4791.5,,-28097.886595447144,-28097.886595447144,-44477.61976815739,-36775.074313611934,,,,
1705428600,4791.5,4801.25,4790.75,4798.25,,-32436.48045452954,-3002.8502876379134,-32436.48045452954,-16037.689573352198,,,,
1705429200,4798.25,4799.25,4793.25,4799.25,,-24237.08501394087,8372.149712362087,-24237.08501394087,2684.6497123620866,,,,
1705429800,4799.25,4801.25,4793.75,4794.5,,-10776.217650789391,8372.149712362087,-10776.217650789391,-1099.958620971247,,,,
1705430400,4794.75,4795.5,4790.25,4791.25,,-5938.088135880319,-5938.088135880319,-23985.400287637916,-17278.73362097125,,,,
1705431000,4791.25,4791.75,4786.75,4789.5,,-11608.410878425784,-11608.410878425784,-36975.775287637916,-30480.587787637916,,,,
1705431600,4789.75,4791,4785,4785.75,,-21044.49933303185,-21044.49933303185,-54224.10862097125,-45599.94195430458,,,,
1705432200,4785.75,4786.5,4779.5,4780,,-33322.22064366822,-33322.22064366822,-79278.76933525696,-66751.4389781141,,,,
1705432800,4780,4787.5,4780,4785,,-50036.82981089116,-50036.82981089116,-79278.76933525696,-70600.01933525696,,,,
1705433400,4784.75,4787.25,4782.5,4786,,-60318.424573074066,-49872.00617736223,-61921.26933525696,-55896.637756309596,,,,
1705434000,4785.75,4792,4784.75,4791,,-58107.53116469183,-30965.10962563809,-58107.53116469183,-40418.55790150016,,,,
1705434600,4791,4792.75,4790.25,4792,,-49263.04453309599,-20922.909625638094,-49263.04453309599,-25944.009625638093,,,,
1705435200,4791.75,4794,4790.25,4792,,-37603.52707936704,-12549.042958971428,-37603.52707936704,-16735.97629230476,,,,
1705435800,4792.25,4794.25,4790,4793,,-27169.7516858359,-3030.219429559662,-27169.7516858359,-7789.631194265545,,,,
1705436400,4793,4793.75,4788.5,4789.5,,-17479.691440050723,-3030.219429559662,-17479.691440050723,-9984.802762892996,,,,
1705437000,4789.5,4790.75,4786.75,4789.25,,-13732.24710147186,-13732.24710147186,-28213.042346226328,-22576.214221226328,,,,
1705437600,4789.5,4792.75,4787.75,4790.75,,-18154.230661349095,-13079.917346226328,-28213.042346226328,-20646.479846226328,,,,
1705438200,4790.75,4799.75,4789,4798.5,,-19400.35525378771,61234.152421215535,-19400.35525378771,24077.117537494603,,,,
1705438800,4798.5,4800.5,4797.5,4799.75,,2338.381141853446,87868.90242121553,2338.381141853446,74551.52742121553,,,,
1705439400,4799.5,4800,4798.5,4798.75,,38444.95428153449,87868.90242121553,38444.95428153449,85771.52742121553,,,,
1705501800,4766,4767.25,4760.25,4764.75,,62108.24085137501,83674.15242121553,31815.241706929817,57744.69706407267,,,,
1705502400,4764.5,4765,4759,4761.5,,59926.468957723846,59926.468957723846,-9113.008293070183,11351.116706929817,,,,
1705503000,4761.25,4765.75,4758,4761.25,,35638.79283232683,35638.79283232683,-9113.008293070183,4914.991706929817,,,,
1705503600,4761,4769,4758.25,4766.25,,20276.892269628323,59653.68938134842,18942.991706929817,39298.34054413912,,,,
1705504200,4766.25,4770.75,4763,4763.5,,29787.616406883724,59653.68938134842,28381.302284574227,44017.49583296132,,,,
1705504800,4763.25,4769,4760.75,4766.25,,36902.55611992252,57947.665920937856,28381.302284574227,43164.48410275604,,,,
1705505400,4766,4770.75,4762.75,4770.25,,40033.52011133928,88440.21279593786,40033.52011133928,73193.93935843786,,,,
1705506000,4770,4771.5,4766.25,4769,,56613.72973488857,88440.21279593786,56613.72973488857,77080.68898641405,,,,
1705506600,4769,4770.5,4765,4768,,66847.20936065131,66847.20936065131,49524.937904162965,57623.051540526605,,,,
1705507200,4768.25,4775.75,4767.75,4772.75,,62235.13045058896,84434.31290416297,49524.937904162965,66979.62540416297,,,,
1705507800,4772.5,4775,4770.25,4772.75,,64607.377927375965,98868.52343047876,64607.377927375965,91651.41816732087,,,,
1705508400,4772.75,4775.75,4772.25,4773,,78129.39804734841,115246.91628762161,78129.39804734841,107057.71985905018,,,,
1705509000,4773.25,4775.75,4771.75,4775.5,,92593.5589531993,131877.3850376216,92593.5589531993,123562.1506626216,,,,
1705509600,4775.75,4775.75,4772.25,4772.75,,108077.85480791045,131877.3850376216,108077.85480791045,122398.52789476444,,,,
1705510200,4773,4773.5,4769.25,4769.75,,115238.19135133745,115238.19135133745,93980.84722249555,103450.25898720142,,,,
1705510800,4769.75,4771,4766,4766,,109344.22516926943,109344.22516926943,74560.22222249555,84270.53472249555,,,,
1705511400,4766,4770.5,4765,4767.75,,96807.37994588248,96807.37994588248,74560.22222249555,81131.35858613192,,,,
1705512000,4767.5,4768.25,4762,4763.25,,88969.3692660072,88969.3692660072,68889.01494976827,78295.75494976826,,,,
1705512600,4763.25,4764.75,4761.25,4762.25,,83632.56210788773,83632.56210788773,56976.87209262542,62932.943521196845,,,,
1705513200,4762,4764.25,4759,4763.5,,73282.75281454228,73282.75281454228,56976.87209262542,64357.83637833971,,,,
1705513800,4763.25,4767.5,4762.25,4764.5,,68820.294596441,83695.70542595876,68820.294596441,77717.25304500638,,,,
1705514400,4764.5,4768.5,4763.25,4763.25,,73268.7738207237,83695.70542595876,71920.18161643494,77807.94352119685,,,,
1705515000,4763.25,4763.5,4757.25,4758.75,,75538.35867096027,75538.35867096027,50725.48161643495,61322.83161643494,,,,
