time,open,high,low,close,Volume
1735569000,5955.25,5955.75,5940,5945.25,49043
1735569300,5945.25,5948.25,5940.25,5941.5,32876
1735569600,5941.5,5944.75,5931.75,5937.25,30150
1735569900,5937,5937.25,5929.25,5934,27767
1735570200,5934.25,5941.5,5931.75,5935.75,26272
1735570500,5935.75,5938.5,5926.5,5927.25,20721
1735570800,5927.25,5937.5,5921.25,5928.75,44705
1735571100,5928.75,5934.25,5926.5,5929.25,22874
1735571400,5929.25,5936.25,5924.5,5934.75,26198
1735571700,5934.75,5934.75,5924.5,5925.5,18996
1735572000,5925.5,5928.5,5918.25,5918.75,19198
1735572300,5918.75,5927,5918.5,5922,20310
1735572600,5922.25,5929.75,5921.5,5927.5,18805
1735572900,5927.25,5940.25,5922,5938.75,21791
1735573200,5939,5943.25,5934.75,5940.75,29615
1735573500,5940.75,5948.5,5926.25,5930,30139
1735573800,5930,5935,5928.5,5934.25,18095
1735574100,5934,5945.5,5933.75,5945.25,17890
1735574400,5945.25,5945.5,5938.5,5943.25,14729
1735574700,5943.25,5951,5943.25,5950.5,15833
1735575000,5950.5,5951.75,5946.25,5948.25,11657
1735575300,5948.25,5958,5947.25,5956.75,14557
1735575600,5956.75,5959.25,5950,5950.5,16444
1735575900,5950.5,5954.5,5949.5,5954.25,13088
1735576200,5954.25,5960.25,5954,5959.25,10770
1735576500,5959.5,5963,5957.5,5962.5,12601
1735576800,5962.5,5971,5962,5969.25,13781
1735577100,5969.5,5970,5956.75,5957.25,18006
1735577400,5957.5,5964.25,5957.25,5963.25,10631
1735577700,5963.75,5970,5963,5968,9500
1735578000,5968,5975.25,5967.25,5971.75,11863
1735578300,5971.75,5973.25,5966.5,5969.75,10617
1735578600,5969.75,5976,5969.75,5971.75,9565
1735578900,5971.75,5975,5970.5,5974.75,6631
1735579200,5974.75,5980.5,5973.75,5979,10453
1735579500,5978.75,5981,5975.75,5979.75,7333
1735579800,5979.75,5982.5,5978.5,5982.25,9579
1735580100,5982.25,5982.75,5978,5981,8792
1735580400,5981,5983,5976.25,5982.25,9897
1735580700,5982.25,5990.25,5981.25,5989,13756
1735581000,5989,5990.25,5980.75,5981,12987
1735581300,5981.25,5989.25,5971.5,5986.75,25340
1735581600,5987,5987,5978.5,5980.5,13004
1735581900,5980.5,5985,5976.75,5984.25,11553
1735582200,5984.25,5992,5983.75,5990.25,10931
1735582500,5990.25,5993.25,5983.75,5986.25,10025
1735582800,5986.25,5988.25,5979.5,5980.25,10778
1735583100,5980,5983.75,5975.25,5981.25,12584
1735583400,5981,5987.75,5979,5987,10089
1735583700,5986.75,5989.5,5979.5,5984.25,10172
1735584000,5984.25,5989.5,5982.5,5987.5,8909
1735584300,5987.5,5990.75,5986.5,5987.25,7449
1735584600,5987.5,5989.5,5984.25,5988.5,7624
1735584900,5988.5,5990,5985.25,5987,5393
1735585200,5987,5988.75,5983.75,5984.5,6718
1735585500,5984.25,5987,5977,5983.5,12624
1735585800,5983.5,5984.5,5973.25,5977.25,10702
1735586100,5977,5981,5975.5,5976.25,7603
1735586400,5976,5976.75,5969,5974.5,13075
1735586700,5974.25,5981,5973.75,5978.75,9820
1735587000,5978.75,5985,5978,5979.75,10239
1735587300,5979.5,5981.25,5977,5979.75,7456
1735587600,5979.75,5984,5979,5980.25,7580
1735587900,5980.25,5985.25,5980,5982.75,6579
1735588200,5982.75,5985.5,5980.75,5983.75,5950
1735588500,5983.75,5987,5982.5,5984.5,6694
1735588800,5984.25,5985,5978.75,5979.25,8525
1735589100,5979,5982,5976.5,5981,8257
1735589400,5980.75,5985.75,5978.5,5984,9306
1735589700,5983.75,5987.75,5982,5986.5,6764
1735590000,5986.5,5986.75,5983,5983.75,6538
1735590300,5984,5984.75,5970.5,5971,15670
1735590600,5971.25,5976.25,5968.75,5971,15064
1735590900,5971,5972,5968.25,5970,9661
1735591200,5970.25,5976.75,5969.25,5973,12778
1735591500,5973.25,5979.5,5971.75,5975.5,15275
1735591800,5975.5,5981.75,5972,5972.25,18424
1735592100,5972.25,5974.5,5956.25,5958,88719
1735592400,5958.25,5960,5950.5,5955.5,39313
1735592700,5955.75,5955.75,5948,5951.5,11410
1735593000,5951.5,5955.5,5950,5955,6559
1735655400,5972.5,5980,5968.25,5974.25,30160
1735655700,5974.25,5976.5,5962.75,5963.25,19647
1735656000,5963.25,5966.75,5959,5964.5,18579
1735656300,5964.75,5975,5963.5,5972.5,14960
1735656600,5972.5,5973.25,5960.75,5966.5,16391
1735656900,5966.5,5975,5966.25,5973.75,13425
1735657200,5973.5,5980.25,5970.25,5972,16788
1735657500,5972,5974.25,5957,5957.25,21727
1735657800,5957,5966.5,5954.75,5964.75,15872
1735658100,5964.5,5973.5,5961.75,5973.5,14294
1735658400,5973.25,5976,5970.5,5975.5,10384
1735658700,5975.25,5979.25,5965.75,5969.25,20378
1735659000,5969.25,5974.5,5959.25,5961,16309
1735659300,5961,5970,5959.5,5969.75,14136
1735659600,5969.75,5970.5,5960.75,5961.75,10772
1735659900,5962,5965.75,5958.75,5959.75,12101
1735660200,5960,5967.75,5959.25,5965.75,9799
1735660500,5965.75,5966.25,5959.75,5960,7665
1735660800,5960,5961.25,5946.75,5950,17735
1735661100,5949.75,5952.75,5946.75,5952.25,13489
1735661400,5952.25,5954.25,5947,5952,10342
1735661700,5952.25,5954,5944.25,5944.75,11877
1735662000,5944.75,5949.25,5941,5943.75,18151
1735662300,5944,5946.5,5942,5942.25,8806
1735662600,5942.25,5943.25,5938.25,5941.75,15118
1735662900,5941.75,5943.75,5939.75,5940.25,9310
1735663200,5940.25,5948,5938.5,5946.5,10180
1735663500,5946.25,5950.25,5942.75,5949.25,11419
1735663800,5948.75,5951.75,5944,5945.25,9849
1735664100,5945,5945.5,5940.5,5943.25,9559
1735664400,5943.25,5944.25,5935.75,5942.5,13344
1735664700,5942.25,5946.75,5940.25,5945.25,8595
1735665000,5945.25,5947,5937.75,5940.5,9717
1735665300,5940.75,5945.75,5940,5944.25,5390
1735665600,5944.25,5945.75,5933.5,5935.25,15651
1735665900,5935.25,5939.25,5930,5931.5,13301
